number_of_entries,week_day,SUM_total_steps,SUM_total_distance,SUM_tracker_distance,sum_tracker_difference,accuracy,total_distance_summed,prcent_VeryActivedistance,prcent_ModeratelyActiveDistance,prcent_LightlyActiveDistance
134,Thursday,983252,702.23000308312453,700.41000291146315,1.820000171661377,not accurate measure,683.0500009059906,0.27099041183882178,0.099099626485000467,0.62990996167617774
139,Tuesday,1153509,829.05999464727927,826.10999483801425,2.949999809265023,not accurate measure,805.88000009022653,0.29910160380581885,0.11035141696076139,0.59054697923341981
113,Saturday,916731,660.61000005342055,660.61000005342055,0.0,accurate measure,655.08999681659043,0.27028347051876656,0.12288387820988995,0.60683265127134345
136,Wednesday,1050707,764.59999919869,761.48999954201281,3.1099996566772461,not accurate measure,754.11000092700124,0.31795096169943876,0.10189494881072024,0.58015408948984093
108,Monday,813491,576.599999703467,574.95999936014425,1.6400003433227539,not accurate measure,569.00000064447522,0.27940246123462664,0.11295254828024838,0.607644990485125
116,Sunday,771960,558.28999796323478,558.28999796323478,0.0,accurate measure,555.00000180490315,0.27792792776914271,0.11897297155452738,0.60309910067633
112,Friday,828364,590.44999921694409,589.56999910250317,0.880000114440918,not accurate measure,587.74999717250466,0.26179498159433096,0.10291790755665876,0.63528711084901024
