num_of_entries,num_of_people,weekday,hour,sum_HR_value,average_HR_per_person_per_log,METs_sum,average_METs_per_person_per_log
78540,9,Tuesday,2,5684760,8.04,884296,1.25
153300,13,Sunday,9,13471680,6.76,3213577,1.61
172920,13,Friday,9,15662640,6.97,3944429,1.75
154440,12,Tuesday,6,13175580,7.11,3125861,1.69
46680,8,Monday,2,3254640,8.72,480958,1.29
186960,13,Wednesday,7,15862620,6.53,3098440,1.27
121920,11,Thursday,6,10272900,7.66,2633354,1.96
58080,10,Sunday,3,3908160,6.73,596392,1.03
167520,13,Friday,8,14322240,6.58,3163717,1.45
62040,9,Saturday,3,4517160,8.09,649450,1.16
61200,9,Sunday,4,4102440,7.45,624525,1.13
135480,12,Friday,6,12042960,7.41,3369285,2.07
158640,12,Friday,7,13919880,7.31,3319757,1.74
114960,10,Monday,6,9572700,8.33,2134825,1.86
150600,12,Wednesday,6,12512640,6.92,2795039,1.55
119400,12,Sunday,7,10051080,7.01,1858801,1.3
107040,10,Tuesday,5,8620680,8.05,1831051,1.71
44400,7,Saturday,5,2843280,9.15,450130,1.45
50880,7,Monday,5,3580800,10.05,647227,1.82
43680,7,Monday,3,3008400,9.84,459411,1.5
89760,9,Wednesday,4,6507780,8.06,960275,1.19
63000,9,Friday,4,4341360,7.66,675826,1.19
63660,9,Friday,3,4323600,7.55,664915,1.16
84840,8,Tuesday,4,5965380,8.79,943278,1.39
90960,9,Thursday,5,7032300,8.59,1299256,1.59
88740,10,Friday,5,7327500,8.26,1422047,1.6
44880,8,Saturday,4,2949840,8.22,457165,1.27
89340,9,Wednesday,2,6351300,7.9,944578,1.17
68640,9,Wednesday,3,4569300,7.4,698639,1.13
70500,9,Thursday,4,4640940,7.31,714551,1.13
55860,9,Friday,2,3926760,7.81,576729,1.15
47280,7,Monday,4,3317520,10.02,517671,1.56
66240,8,Tuesday,3,4376700,8.26,681296,1.29
68880,9,Thursday,3,4667280,7.53,700874,1.13
