num_of_entries,num_people,weekday,hour,cal_sum,average_cal_per_person_per_log
118,32,Monday,22,9770.0,2.59
120,32,Sunday,22,9630.0,2.51
150,33,Tuesday,22,13808.0,2.79
121,32,Saturday,23,9686.0,2.5
123,32,Friday,23,10145.0,2.58
126,33,Thursday,23,9654.0,2.32
120,32,Sunday,23,8937.0,2.33
145,33,Wednesday,23,11288.0,2.36
150,33,Tuesday,23,11683.0,2.36
118,32,Monday,23,8674.0,2.3
